config,operator,source,NS,sampler,seed,pre_2opt,post_2opt,fes,iterations,two_opt_evals,two_opt_moves,wall_seconds,N,ST,max_fes,instance,rounded,git_sha
swap(best tree)|NS=1|-,swap,best,1,-,3,8614.0,7941.0,104000,1999,8806,7,2.105,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,4,8614.0,7941.0,104000,1999,8806,7,2.108,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,5,8506.0,7941.0,104000,1999,7697,6,2.165,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,6,8614.0,7941.0,104000,1999,8806,7,2.14,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,7,8614.0,7941.0,104000,1999,8806,7,2.128,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,8,8614.0,7941.0,104000,1999,8806,7,2.162,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,9,8614.0,7941.0,104000,1999,8806,7,2.092,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,10,8614.0,7941.0,104000,1999,8806,7,2.066,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,11,8614.0,7941.0,104000,1999,8806,7,2.083,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,12,8614.0,7941.0,104000,1999,8806,7,2.196,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,13,8614.0,7941.0,104000,1999,8806,7,2.119,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,14,8614.0,7941.0,104000,1999,8806,7,2.155,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,15,8506.0,7941.0,104000,1999,7697,6,2.061,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,16,8614.0,7941.0,104000,1999,8806,7,2.123,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,17,8506.0,7941.0,104000,1999,7697,6,2.084,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,18,8614.0,7941.0,104000,1999,8806,7,2.079,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,19,8614.0,7941.0,104000,1999,8806,7,2.111,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,20,8614.0,7941.0,104000,1999,8806,7,2.131,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,21,8614.0,7941.0,104000,1999,8806,7,2.056,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,22,8614.0,7941.0,104000,1999,8806,7,2.133,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,23,8614.0,7941.0,104000,1999,8806,7,2.148,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,24,8614.0,7941.0,104000,1999,8806,7,1.944,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,25,8614.0,7941.0,104000,1999,8806,7,1.948,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,26,8614.0,7941.0,104000,1999,8806,7,1.937,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,27,8614.0,7941.0,104000,1999,8806,7,1.928,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,28,8614.0,7941.0,104000,1999,8806,7,1.933,52,0.5,104000,berlin52,True,06f6700
swap(best tree)|NS=1|-,swap,best,1,-,29,8506.0,7941.0,104000,1999,7697,6,1.935,52,0.5,104000,berlin52,True,06f6700
shift(current tree)|NS=6|-,shift,current,6,-,0,8303.0,8108.0,104260,334,4254,3,1.691,52,0.5,104000,berlin52,True,06f6700
shift(current tree)|NS=6|-,shift,current,6,-,1,8346.0,7989.0,104260,334,6234,7,1.758,52,0.5,104000,berlin52,True,06f6700
shift(current tree)|NS=6|-,shift,current,6,-,2,8351.0,8108.0,104260,334,4618,4,1.729,52,0.5,104000,berlin52,True,06f6700
shift(current tree)|NS=6|-,shift,current,6,-,3,8497.0,8091.0,104260,334,7722,6,1.654,52,0.5,104000,berlin52,True,06f6700
shift(current tree)|NS=6|-,shift,current,6,-,4,8521.0,7989.0,104260,334,10875,12,1.693,52,0.5,104000,berlin52,True,06f6700
shift(current tree)|NS=6|-,shift,current,6,-,5,8638.0,7941.0,104260,334,9958,9,1.641,52,0.5,104000,berlin52,True,06f6700
shift(current tree)|NS=6|-,shift,current,6,-,6,8675.0,7941.0,104260,334,8628,8,1.714,52,0.5,104000,berlin52,True,06f6700
shift(current tree)|NS=6|-,shift,current,6,-,7,8724.0,7941.0,104260,334,10940,10,1.684,52,0.5,104000,berlin52,True,06f6700
